Time	x coordinate for point mass 1	y coordinate for point mass 1	estimated x velocity for point mass 1	x velocity uncertainty for point mass 1	estimated y velocity for point mass 1	y velocity uncertainty for point mass 1	total velocity of point mass 1	total velocity of point mass 1 uncertainty	estimated kinetic energy of point mass 1	kinetic energy uncertainty of point mass 1	estimated potential energy of point mass 1	potential energy uncertainty of point mass 1	estimated Hamiltonian (total energy) of point mass 1	Uncertainty of the estimated Hamiltonian (total energy) of point mass 1	x coordinate for point mass 2	y coordinate for point mass 2	estimated x velocity for point mass 2	x velocity uncertainty for point mass 2	estimated y velocity for point mass 2	y velocity uncertainty for point mass 2	total velocity of point mass 2	total velocity of point mass 2 uncertainty	estimated kinetic energy of point mass 2	kinetic energy uncertainty of point mass 2	estimated potential energy of point mass 2	potential energy uncertainty of point mass 2	estimated Hamiltonian (total energy) of point mass 2	Uncertainty of the estimated Hamiltonian (total energy) of point mass 2	The hamiltonian (total energy) of the entire system	Uncertainty of The hamiltonian (total energy) of the entire system
0.3332444444	0.07928670217	-0.1000398313	-0.7654879404	0.3956935014	-0.562702125	0.2996271342	0.9500555081	0.3648849248	0.004513027342	0.003466609333	0.02746409255	4.91E-05	0.03197711989	0.003466956688	0.09633543733	-0.2226235496	-0.0126529659	0.1062530227	-0.552259902	0.2947693807	0.5524048306	0.2947020947	0.001525755485	0.001627948609	0.01543862978	4.91E-05	0.01696438527	0.001628687597	0.04894150516	0.003831086854
0.3499	0.06444069391	-0.1099330288	-0.9034656825	0.4622589365	-0.522156123	0.280833671	1.043502399	0.4241780833	0.005444486281	0.004426308483	0.02649356987	4.91E-05	0.03193805616	0.004426580527	0.09418459624	-0.2326501956	-0.3475682106	0.2030019486	-0.336511227	0.1983278216	0.4837803912	0.2007540043	0.001170217335	0.0009712085094	0.01445501581	4.91E-05	0.01562523315	0.0009724466454	0.0475632893	0.004532668303
0.3665555556	0.04917117942	-0.1174450354	-1.063546382	0.5401620028	-0.408337815	0.2293515428	1.139241273	0.5109285895	0.006489353387	0.005820709375	0.02575664203	4.91E-05	0.03224599541	0.005820916253	0.08474983031	-0.2338405905	-0.5187268377	0.2792531187	-0.048473646	0.1087783692	0.5209867815	0.2782259152	0.001357136133	0.001449520243	0.01433823807	4.91E-05	0.0156953742	0.001450350112	0.04794136962	0.005999282941
0.3832333333	0.02898914785	-0.1235442893	-1.155436238	0.5851012726	-0.260336868	0.1675068409	1.184402037	0.5719782631	0.007014040922	0.006774522207	0.02515830522	4.91E-05	0.03217234614	0.006774699957	0.07689370165	-0.2342659838	-0.5248393107	0.2820713823	0.095334	0.1162067214	0.5334274774	0.2783060394	0.001422724368	0.001484560887	0.01429650699	4.91E-05	0.01571923136	0.00148537118	0.0478915775	0.006935971553
0.3998777778	0.01065663816	-0.126122931	-1.119804671	0.5676598597	-0.069865059	0.1116267839	1.121982009	0.5666008869	0.006294218141	0.006357160021	0.02490534047	4.91E-05	0.03119955861	0.00635734943	0.06725518662	-0.2306627905	-0.7406692749	0.3838004118	0.179545341	0.1387255862	0.7621204001	0.3744267698	0.002904137521	0.0028535828	0.01464998025	4.91E-05	0.01755411777	0.002854004458	0.04875367638	0.006968934478
0.4165444444	-0.008337674525	-0.1258731246	-1.308452317	0.6601852918	0.007029474	0.1061237709	1.308471199	0.6601760109	0.008560484392	0.008638212976	0.02492984648	4.91E-05	0.03349033087	0.008638352386	0.05220472582	-0.2282811391	-0.8798373372	0.4508140459	0.105895338	0.1184528297	0.8861870923	0.4478076081	0.003926637813	0.003968413226	0.01488362025	4.91E-05	0.01881025807	0.003968716453	0.05230058894	0.00950666383
0.4332111111	-0.03295843906	-0.1258886152	-1.163966936	0.5892796776	0.092915172	0.1157198141	1.167669584	0.5874832569	0.006817261289	0.006859863311	0.02492832685	4.91E-05	0.03174558814	0.006860038845	0.03792727538	-0.2271329459	-0.944765619	0.4823006582	0.060004071	0.1101949888	0.9466691943	0.4813815163	0.004480912817	0.004557090527	0.01499625801	4.91E-05	0.01947717082	0.004557354591	0.05122275896	0.0082361659
0.4498777778	-0.0471365724	-0.1227759522	-0.743038881	0.3849346562	0.230880948	0.1564292308	0.7780827661	0.3705166935	0.003027063954	0.002882926541	0.02523367909	4.91E-05	0.02826074304	0.002883344121	0.02071253852	-0.2262810034	-1.082871061	0.5496015872	-0.016261707	0.1063747289	1.082993157	0.5495419468	0.00586437089	0.005951501686	0.01507983357	4.91E-05	0.02094420446	0.005951703893	0.0492049475	0.006613718116
0.4666333333	-0.05772640176	-0.1181925836	-0.5665535598	0.301421718	0.268213272	0.1705608421	0.6268343445	0.2820406417	0.001964606477	0.00176792761	0.02568330755	4.91E-05	0.02764791403	0.001768608447	0.001831573345	-0.2276750028	-1.153301624	0.584055879	-0.154700688	0.1310927414	1.163630928	0.5791336404	0.006770184688	0.006738978165	0.01494308223	4.91E-05	0.02171326691	0.006739156749	0.04936118094	0.006967712991
0.4831888889	-0.06602169106	-0.1138355098	-0.4163104434	0.2328790691	0.24546504	0.1618425355	0.4832881864	0.21679324	0.001167837356	0.00104773612	0.02611073649	4.91E-05	0.02727857384	0.00104888452	-0.01773084893	-0.231437693	-1.167798025	0.5911565001	-0.23808984	0.1590865996	1.191821715	0.5801116756	0.007102195	0.006913896929	0.01457396232	4.91E-05	0.02167615732	0.006914070993	0.04895473116	0.006993522088
